# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833536824491e+01 
       2.326967400489e-05       1.050301576187e+02 
       3.616373012072e-05       1.608006165913e+02 
       4.913726131589e-05       2.162187383067e+02 
       6.222535647458e-05       2.716139599477e+02 
       7.546398391688e-05       3.272355696191e+02 
       8.889031264419e-05       3.832982865617e+02 
       1.025430477450e-04       4.400009723075e+02 
       1.164627842470e-04       4.975362774784e+02 
       1.306923837342e-04       5.560965309799e+02 
       1.452773780572e-04       6.158777787258e+02 
       1.602664044030e-04       6.770830889636e+02 
       1.757116758265e-04       7.399251905951e+02 
       1.916694909805e-04       8.046291161402e+02 
       2.082007861489e-04       8.714346810423e+02 
       2.253717316435e-04       9.405987501970e+02 
       2.432543730071e-04       1.012397808297e+03 
       2.619273150716e-04       1.087130365483e+03 
       2.814764434712e-04       1.165119453767e+03 
       3.019956734005e-04       1.246715030097e+03 
       3.235877088531e-04       1.332296396117e+03 
       3.463647868986e-04       1.422274158370e+03 
       3.704493703696e-04       1.517092127930e+03 
       3.959747383888e-04       1.617228382015e+03 
       4.230854074651e-04       1.723195513786e+03 
       4.519372969266e-04       1.835539776807e+03 
       4.826975324993e-04       1.954838556960e+03 
       5.155437633163e-04       2.081695710385e+03 
       5.506628544687e-04       2.216734376071e+03 
       5.882488150288e-04       2.360586935174e+03 
       6.284998374309e-04       2.513881161511e+03 
       6.716143659670e-04       2.677223381382e+03 
       7.177861864082e-04       2.851177714095e+03 
       7.671986375448e-04       3.036243016755e+03 
       8.200181829124e-04       3.232827844197e+03 
       8.763877302120e-04       3.441225684159e+03 
       9.364202185264e-04       3.661592393280e+03 
       1.000193073614e-03       3.893927900529e+03 
       1.067744125784e-03       4.138065489684e+03 
       1.139069474593e-03       4.393667932772e+03 
       1.214123577175e-03       4.660235849091e+03 
       1.292821568500e-03       4.937121011348e+03 
       1.375043548476e-03       5.223531359847e+03 
       1.460640351075e-03       5.518594573812e+03 
       1.549440186683e-03       5.821393707279e+03 
       1.641255533869e-03       6.130955749831e+03 
       1.735889735687e-03       6.446297963740e+03 
       1.833142894323e-03       6.766452761163e+03 
       1.932816817651e-03       7.090485120729e+03 
       2.034718919664e-03       7.417507865579e+03 
       2.138665094098e-03       7.746690613720e+03 
       2.244481659529e-03       8.077266571621e+03 
       2.352006517222e-03       8.408535461842e+03 
       2.461089677307e-03       8.739861324444e+03 
       2.571593303519e-03       9.070673348751e+03 
       2.683391409940e-03       9.400460410968e+03 
       2.796369321220e-03       9.728768880811e+03 
       2.910422985000e-03       1.005519680605e+04 
       3.025458204250e-03       1.037939113653e+04 
       3.141389839144e-03       1.070104111693e+04 
       3.258141013387e-03       1.101987604160e+04 
       3.375642348360e-03       1.133565958232e+04 
       3.493831239745e-03       1.164818732509e+04 
       3.612651184880e-03       1.195728177999e+04 
       3.732051164558e-03       1.226279311642e+04 
       3.851985079836e-03       1.256458987094e+04 
       3.972411242395e-03       1.286256485227e+04 
       4.093291915663e-03       1.315662357725e+04 
       4.214592903222e-03       1.344669306705e+04 
       4.336283180634e-03       1.373270681861e+04 
       4.458334566790e-03       1.401462002322e+04 
       4.580721430918e-03       1.429239059289e+04 
       4.703420431606e-03       1.456598268679e+04 
       4.826410284458e-03       1.483533815448e+04 
       4.949671555244e-03       1.510053977156e+04 
       5.073186475718e-03       1.536150259552e+04 
       5.196938779567e-03       1.561824464147e+04 
       5.320913556188e-03       1.587080727354e+04 
       5.445097120265e-03       1.611920421147e+04 
       5.569476895355e-03       1.636338523411e+04 
       5.694041309850e-03       1.660265238510e+04 
       5.818779703930e-03       1.683849428376e+04 
       5.943682246250e-03       1.707019337037e+04 
       6.068739859238e-03       1.729772925332e+04 
       6.193944152072e-03       1.752125779978e+04 
       6.319287360436e-03       1.774087831558e+04 
       6.444762292336e-03       1.795665478203e+04 
       6.570362279283e-03       1.816792748014e+04 
       6.696081132274e-03       1.837532754525e+04 
       6.821913102041e-03       1.857874677625e+04 
       6.947852843110e-03       1.877835655442e+04 
       7.073895381277e-03       1.897410720458e+04 
       7.200036084125e-03       1.916598537997e+04 
       7.326270634273e-03       1.935407292450e+04 
       7.452595005081e-03       1.953825120886e+04 
       7.579005438547e-03       1.971889611646e+04 
       7.705498425190e-03       1.989634198832e+04 
       7.832070685705e-03       2.006961382394e+04 
       7.958719154225e-03       2.023924963060e+04 
       8.085440963039e-03       2.040530428996e+04 
       8.212233428601e-03       2.056786812985e+04 
       8.339094038739e-03       2.072690750875e+04 
       8.466020440920e-03       2.088247363103e+04 
       8.593010431497e-03       2.103460824405e+04 
       8.720061945831e-03       2.118335870698e+04 
       8.847173049211e-03       2.132874508738e+04 
       8.974341928512e-03       2.147077434131e+04 
       9.101566884502e-03       2.160954749394e+04 
       9.228846324766e-03       2.174508142846e+04 
       9.356178757171e-03       2.187738695008e+04 
